home_team,away_team,home_win_prob,draw_prob,away_win_prob,over_2_5_prob,btts_prob,home_cs_prob,away_cs_prob,home_xg,away_xg
Leeds,Manchester United,0.3878109985455556,0.2499016098133515,0.3622873916410928,0.5631779014362489,0.5982630262228812,0.2347045394680702,0.22174086340605642,1.51,1.45
Nottingham Forest,Arsenal,0.17777268110655212,0.24949342195968893,0.5727338969337591,0.4442410201319695,0.4542220576743974,0.19230312271578331,0.4430345952801276,0.81,1.65
Tottenham Hotspur,Coventry City,0.7455567568897906,0.194727508571825,0.059715734538384156,0.39688075039401766,0.2771267466083632,0.6799498632410491,0.15046276683446622,1.89,0.39
Ipswich Town,Nottingham Forest,0.16433494994511214,0.21405926030816239,0.6216057897467253,0.5555625989236247,0.5261162048047717,0.1365594802659505,0.39385789457555015,0.93,1.99
Aston Villa,Manchester City,0.1628235270191861,0.19391872410471325,0.6432577488761007,0.641077384198758,0.5890373154793764,0.10467449629386111,0.3441472029721476,1.07,2.26
Arsenal,Everton,0.6388508325966189,0.21766784310067114,0.1434813243027101,0.5049345839756323,0.47101528561844747,0.4512827142087313,0.14782337959728964,1.91,0.8
Coventry City,Fulham,0.09092854390918083,0.25247504416930183,0.6565964119215175,0.3184088271108252,0.28219753264057745,0.2119007447075311,0.6508916254908746,0.43,1.55
Chelsea,Tottenham Hotspur,0.4665137617498936,0.22900592967189648,0.30448030857820996,0.6416974970945231,0.6515983190974011,0.22964926113534212,0.15653943005239174,1.86,1.47
Crystal Palace,Newcastle United,0.327774611488446,0.2554247117538956,0.4168006767576585,0.533206571782779,0.5730644496434633,0.22092553186212668,0.2683262445650618,1.32,1.51
Hull City,Brentford,0.10127977872843613,0.15411105609744657,0.7446091651741171,0.6786682596719948,0.5512824344917046,0.07252191671571592,0.40722380685188087,0.9,2.63
Liverpool,Brighton,0.44869775479769314,0.24779343653817415,0.3035088086641327,0.5566796390021467,0.5874096538307266,0.2719878186785675,0.1968983541916083,1.63,1.3
Manchester United,Bournemouth,0.4999861659706197,0.23053969843646352,0.2694741355929169,0.6117821978502124,0.6209337722390988,0.26681808467773904,0.15600039323180642,1.86,1.32
Sunderland,Leeds,0.31006175103072436,0.27400542877628326,0.41593282019299227,0.45584356747590016,0.5115234122540309,0.25570716407288646,0.3183433808413748,1.14,1.36
Chelsea,Manchester United,0.37525249909634223,0.22475283705362062,0.3999946638500371,0.6839440953703079,0.6908045827198529,0.16462946721824923,0.17481616592504784,1.74,1.8
Bournemouth,Leeds,0.3686318848936262,0.25905096321611604,0.3723171518902577,0.5236740765418045,0.5679875829758412,0.2474590522486022,0.24944186744008126,1.39,1.4
Brentford,Nottingham Forest,0.5062236043457257,0.24138716889552234,0.2523892267587521,0.5510652083637154,0.5701626550849609,0.31114816660888117,0.17637756748735514,1.74,1.17
Coventry City,Sunderland,0.09187182749119045,0.26639461274928466,0.641733559759525,0.2917241828445033,0.2663944421348863,0.22981545555267985,0.6642722130780967,0.41,1.47
Hull City,Ipswich Town,0.36876849980664944,0.2424239289509913,0.3888075712423591,0.5977749183505843,0.6248585649983978,0.20612751685052208,0.2157654224966431,1.53,1.58
Manchester City,Brighton,0.6487339953841869,0.20125553859462775,0.15001046602118528,0.5831884891769158,0.5345037569534608,0.3951895895253966,0.12025644758792634,2.12,0.93
Tottenham Hotspur,Crystal Palace,0.44781664537323534,0.25844591328177885,0.29373744134498564,0.50839144791345,0.549073640953404,0.30278358997216753,0.21731136068399068,1.53,1.19
Aston Villa,Fulham,0.47777840696886764,0.24548523285955118,0.2767363601715813,0.5517764025244672,0.577933628401259,0.2925748803848437,0.18700549972080913,1.68,1.23
Liverpool,Arsenal,0.2835636814146972,0.2535509600000393,0.46288535858526353,0.5227201566503968,0.5577411284940109,0.20477894234847688,0.30262476730132704,1.2,1.59
Newcastle United,Everton,0.4591396656390109,0.2540815266550029,0.2867788077059863,0.5223238352694061,0.5581665856488314,0.3005477813205265,0.20653974238195966,1.58,1.2
Everton,Coventry City,0.7421287269656374,0.19866210977063894,0.05920916326372386,0.385166409723828,0.26921857008019534,0.687651699508455,0.1556062684625896,1.86,0.37
Leeds,Tottenham Hotspur,0.4699759084343053,0.2525404761014053,0.2774836154642894,0.5232926131640708,0.5567134266294369,0.30671380975138496,0.201559771284803,1.6,1.18
Arsenal,Hull City,0.8849470141809522,0.08364558839540248,0.03140739742364525,0.7260446732073919,0.407974441437891,0.5767789420993907,0.03864250127301956,3.27,0.55
Fulham,Newcastle United,0.3413501120892139,0.25885500852087,0.3997948793899161,0.5219490404390079,0.5656590783941587,0.23406909909183496,0.2656332153862077,1.33,1.45
Nottingham Forest,Manchester City,0.13417589119226542,0.20340455031389681,0.6624195584938377,0.5421854772894588,0.488847260586043,0.12889582300287905,0.4421606253776212,0.82,2.05
Brighton,Brentford,0.3978207769593276,0.25180733054366683,0.35037189249700557,0.5534158369550553,0.5903009344082224,0.2456406583705353,0.22116842661467753,1.51,1.4
Crystal Palace,Liverpool,0.2607916916287706,0.23816815942431044,0.501040148946919,0.5714198009841416,0.5881164641464369,0.1706084529629861,0.2940007502751563,1.22,1.77
Ipswich Town,Bournemouth,0.15049076123506527,0.19436704452713388,0.6551421942378007,0.6145013197086323,0.5584140536097545,0.10934737501118819,0.3753779412713253,0.98,2.22
Sunderland,Chelsea,0.33223257591352984,0.2435895151380174,0.42417790894845275,0.5859224796735588,0.6135445071198585,0.1953066125309649,0.24053067750605742,1.43,1.63
Manchester United,Aston Villa,0.5172226395980328,0.22401499456516796,0.2587623658367992,0.6326655186847029,0.6333602009950459,0.26341280541099266,0.1427511128009926,1.95,1.33
Manchester City,Fulham,0.7476870645496034,0.16017491031340253,0.09213802513699408,0.6192465424056902,0.490515928714275,0.46551542762658793,0.08607251669487617,2.46,0.77
Aston Villa,Sunderland,0.4728104052993785,0.25328466698403734,0.27390492771658415,0.5181622607123431,0.5519372976363306,0.3120066907942456,0.2024597658130531,1.6,1.16
Bournemouth,Nottingham Forest,0.4178346975813387,0.26000443812968627,0.32216086428897506,0.5128143647320759,0.5568769356211952,0.2817421256534826,0.22929104327670377,1.47,1.27
Chelsea,Leeds,0.40483177766138034,0.23714680432275287,0.3580214180158668,0.621457655872058,0.6424982585995974,0.21046395016978056,0.18880809092724304,1.67,1.56
Coventry City,Crystal Palace,0.0926834026026199,0.24758886014872442,0.6597277372486559,0.33162035262229517,0.2930233714324539,0.20502382817726864,0.6398586667544709,0.45,1.58
Tottenham Hotspur,Ipswich Town,0.6690281535855734,0.1896968219439731,0.14127502447045331,0.6160078995923048,0.550900609213655,0.38650137226404135,0.10541907855189002,2.25,0.95
Newcastle United,Arsenal,0.23093560925325368,0.24474900338392533,0.5243153873628209,0.5185927613272342,0.5378104734497278,0.1819482739954336,0.34651706017814327,1.06,1.7
Hull City,Brighton,0.11577541387387125,0.17528451949019222,0.7089400666359366,0.6195912408785247,0.5251259140246961,0.09482238443138993,0.4221144151704783,0.86,2.36
Liverpool,Manchester United,0.43440010375759863,0.23667757447713533,0.32892232176526603,0.6165136048791097,0.6362969513200868,0.2279402717718411,0.17854165093510954,1.72,1.48
Brentford,Everton,0.5232846151036916,0.23878105559205845,0.23793432930424974,0.5491066180697064,0.5634003922699066,0.3239045797730464,0.17087442813048645,1.77,1.13
Nottingham Forest,Chelsea,0.33316952410235406,0.24717286102488464,0.419657614872761,0.5701926755593192,0.6017270269795977,0.20385879046159008,0.2474393681077119,1.4,1.59
Leeds,Coventry City,0.7967264524142502,0.16052506885481382,0.04274847873093587,0.44570844823488387,0.2621802172924002,0.707096159040367,0.11963415100396424,2.12,0.35
Manchester United,Brentford,0.42990425261836845,0.2369973173854831,0.3330984299961485,0.6163916286991513,0.6366797592917541,0.22571858374653272,0.18040596214294985,1.71,1.49
Ipswich Town,Aston Villa,0.15740362624658316,0.1943329403810026,0.6482634333724142,0.628585379394267,0.5750881777636373,0.10702502831572652,0.3581743031965112,1.03,2.24
Everton,Liverpool,0.3029027678385691,0.24956410410144061,0.44753312805999046,0.5488783205263466,0.5814160747816768,0.2005831561578926,0.27624882631925374,1.29,1.61
Brighton,Newcastle United,0.45555914178741164,0.25027492359350395,0.2941659346190846,0.5417208313542535,0.5743599333687903,0.28561024935028717,0.20010972044426473,1.61,1.25
Crystal Palace,Hull City,0.6736904433060238,0.19069410345400586,0.1356154532399703,0.5989490434272491,0.5323381811222441,0.4050165900057159,0.10907462871802247,2.22,0.9
Fulham,Bournemouth,0.34891573930234077,0.2582780564466217,0.39280620425103746,0.5255185987769248,0.5688589731477086,0.23597751253987212,0.25954829969845805,1.35,1.44
Sunderland,Tottenham Hotspur,0.36037652067810855,0.27257705013200456,0.36704642918988684,0.46904312684873684,0.5253524620579525,0.2759887776768832,0.2798526833665719,1.27,1.29
Arsenal,Manchester City,0.34123616140833474,0.26398183856457347,0.39478200002709174,0.5010381051373645,0.5495668818817775,0.24598928584884114,0.2757506275974871,1.29,1.4
Aston Villa,Everton,0.4428768266451856,0.2513719163279045,0.30575125702691,0.5425191222543528,0.5771051458801322,0.2775589409227831,0.2052106193850717,1.58,1.28
Bournemouth,Brighton,0.3584507699358343,0.2584589327343981,0.3830902973297677,0.5257423060325598,0.5694158957274813,0.24084346838509899,0.2540647664534009,1.37,1.42
Brentford,Arsenal,0.2794811854222535,0.25271774984397055,0.46780106473377586,0.523755754383162,0.5575548012847875,0.20228154086593497,0.30502410268054103,1.19,1.6
Chelsea,Crystal Palace,0.5243684071850107,0.22147785090226707,0.2541537419127223,0.6401964634999106,0.637508682677024,0.2627032461981285,0.13785257621664235,1.98,1.34
Coventry City,Ipswich Town,0.1863785361780185,0.30540539753737544,0.5082160662846059,0.30240103017339814,0.35333170655840673,0.28328362722460354,0.5174975091303032,0.66,1.26
Hull City,Nottingham Forest,0.15192937935308118,0.20325138162627632,0.6448192390206425,0.5783762995403694,0.5326407070459256,0.12278236087701438,0.3956337413292059,0.93,2.1
Liverpool,Sunderland,0.5563952196842201,0.23579040226019102,0.20781437805558903,0.5295538102103637,0.5350753146290512,0.36185293038251587,0.1663438369621583,1.79,1.02
Manchester City,Leeds,0.6586388697858159,0.19773076060778233,0.1436303696064018,0.5854857649996438,0.5302747587738768,0.40224531553793325,0.1169030810700596,2.15,0.91
Newcastle United,Manchester United,0.36552232173968596,0.2421870107197702,0.39229066754054387,0.5986378754852982,0.6254329363949754,0.20413631798321602,0.21699428751786234,1.53,1.59
Tottenham Hotspur,Fulham,0.43823719050710974,0.2641176241401586,0.2976451853527316,0.4881145255742596,0.5343810687525625,0.3104124643639133,0.23038433287442242,1.47,1.17
Aston Villa,Crystal Palace,0.48797606546126204,0.23983618590003694,0.272187748638701,0.5727432427503419,0.592444265084919,0.28502761577124236,0.1749436886106748,1.74,1.26
Bournemouth,Hull City,0.7461135814917341,0.15609012069043604,0.0977962978178299,0.6574528933948522,0.529132779024765,0.42842081838032,0.07719547101411202,2.57,0.85
Brentford,Manchester City,0.2211945766669615,0.22018965701221696,0.5586157663208215,0.6111546868257869,0.6025056641967139,0.137241112461037,0.3041242967647109,1.19,1.99
Chelsea,Liverpool,0.35692994175706066,0.22409542309753294,0.41897463514540645,0.6846450115990347,0.690536559273534,0.1570250523592795,0.18257113452667964,1.7,1.85
Everton,Fulham,0.43913823556015563,0.267607959694742,0.29325380474510226,0.4732023410643208,0.5221695548537058,0.32120409425292246,0.23647458194362483,1.44,1.14
