gw,home_team,away_team,home_goals,away_goals,pred_home_xg,pred_away_xg,home_win_prob,draw_prob,away_win_prob,actual_outcome,predicted_outcome,outcome_correct,rps,naive_rps,brier,actual_over_2_5,pred_over_prob,ou_correct,pred_top_score,actual_score,correct_score,xg_mae_home,xg_mae_away
33,Brentford,Fulham,0,0,2.131,1.33,0.5231,0.2293,0.2476,draw,home_win,False,0.1675,0.1111,0.2736,False,0.6059,False,1-1,0-0,False,0.20933501658958686,0.5399509394205946
33,Leeds,Wolverhampton Wanderers,3,0,1.793,1.144,0.4917,0.2607,0.2476,home_win,home_win,True,0.1598,0.2778,0.2584,True,0.511,True,0-0,3-0,False,1.7673779440919073,0.5740046769875345
33,Newcastle United,Bournemouth,1,2,1.914,1.392,0.4709,0.2436,0.2855,away_win,home_win,False,0.3662,0.2778,0.2218,True,0.5796,True,0-0,1-2,False,0.3040161813088491,1.9780779489034264
33,Tottenham Hotspur,Brighton,2,2,1.427,1.508,0.3492,0.2707,0.38,draw,away_win,False,0.1332,0.1111,0.122,True,0.5111,True,0-0,2-2,False,0.13313673061612352,0.36787304246554386
33,Chelsea,Manchester United,0,1,1.891,1.467,0.4534,0.2429,0.3038,away_win,home_win,False,0.3451,0.2778,0.2055,False,0.5888,False,1-1,0-1,False,0.610564841692617,1.026860873708773
33,Aston Villa,Sunderland,4,3,1.519,0.857,0.4879,0.3,0.2121,home_win,home_win,True,0.1536,0.2778,0.2622,True,0.3964,False,0-0,4-3,False,2.3814367923166193,0.703374146940149
33,Everton,Liverpool,1,2,1.369,1.576,0.3262,0.2692,0.4045,away_win,away_win,True,0.2305,0.2778,0.1064,True,0.513,True,0-0,1-2,False,0.11087058604711642,0.19568751348056224
33,Nottingham Forest,Burnley,4,1,1.506,0.939,0.468,0.2978,0.2342,home_win,home_win,True,0.1689,0.2778,0.283,True,0.4114,False,0-0,4-1,False,0.0662039447423064,0.33913397099392606
33,Manchester City,Arsenal,2,1,1.713,1.139,0.4758,0.2681,0.256,home_win,home_win,True,0.1701,0.2778,0.2747,True,0.4944,False,0-0,2-1,False,0.9070276145945038,1.1514517607131027
33,Crystal Palace,West Ham,0,0,1.715,1.362,0.4357,0.2592,0.305,draw,home_win,False,0.1415,0.1111,0.1899,False,0.5381,False,0-0,0-0,True,0.985052398649807,0.7417805215004304
33,Brighton,Chelsea,3,0,1.431,1.627,0.3325,0.2623,0.4052,home_win,away_win,False,0.3049,0.2778,0.4456,True,0.5347,True,0-0,3-0,False,1.0885998548089548,1.3270518931502902
33,Bournemouth,Leeds,2,2,1.868,1.457,0.4506,0.2447,0.3047,draw,home_win,False,0.1479,0.1111,0.2031,True,0.583,True,1-1,2-2,False,0.042201756890678066,0.23664700540411632
33,Burnley,Manchester City,0,1,0.641,2.702,0.0809,0.1696,0.7495,away_win,away_win,True,0.0347,0.2778,0.0065,False,0.5807,False,0-2,0-1,False,0.3289244350198136,0.708156463129674
34,Sunderland,Nottingham Forest,0,5,1.175,1.202,0.3373,0.314,0.3488,away_win,away_win,True,0.2689,0.2778,0.1137,True,0.3972,False,0-0,0-5,False,0.5647451619854501,0.3379447893832146
34,Fulham,Aston Villa,1,0,1.364,1.545,0.3296,0.2717,0.3986,home_win,away_win,False,0.3041,0.2778,0.4494,False,0.5062,False,0-0,1-0,False,0.12439556482368719,0.6351157380580649
34,Liverpool,Crystal Palace,3,1,1.915,1.167,0.5124,0.2492,0.2384,home_win,home_win,True,0.1473,0.2778,0.2378,True,0.5385,True,0-0,3-1,False,0.4653392913779011,1.0331748515104124
34,West Ham,Everton,2,1,1.396,1.513,0.3414,0.2723,0.3863,home_win,away_win,False,0.2915,0.2778,0.4337,True,0.506,True,0-0,2-1,False,0.4444554720457965,0.4030033991491022
